x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000335491,0.,0.0000236773,0.,0.0008380192
0.5,0.,1.,0.0003456398,1.,0.0002521868,1.,0.0021035417
1.5,0.,2.,0.0017804769,2.,0.0013430199,2.,0.0048069901
2.5,0.0025,3.,0.0061144545,3.,0.0047681656,3.,0.0100004680
3.5,0.0175,4.,0.0157485419,4.,0.0126964254,4.,0.0189405418
4.5,0.035,5.,0.0324498707,5.,0.0270459095,5.,0.0326579899
5.5,0.0575,6.,0.0557191321,6.,0.0480109689,6.,0.0512638812
6.5,0.075,7.,0.0820066226,7.,0.0730520756,7.,0.0732585800
7.5,0.1425,8.,0.1056091537,8.,0.0972596501,8.,0.0953082487
8.5,0.1375,9.,0.1208931451,9.,0.1151013251,9.,0.1128827193
9.5,0.0775,10.,0.1245501627,10.,0.1225943494,10.,0.121716489
10.5,0.105,11.,0.1166525501,11.,0.1187046954,11.,0.1194803125
11.5,0.0975,12.,0.1001510748,12.,0.1053602474,12.,0.1067746763
12.5,0.0775,13.,0.0793697268,13.,0.0863224105,13.,0.0868690671
13.5,0.0675,14.,0.0584076150,14.,0.0656728182,14.,0.0643408852
14.5,0.0425,15.,0.0401162969,15.,0.0466320517,15.,0.0433844289
15.5,0.0325,16.,0.0258311343,16.,0.0310423557,16.,0.0266321188
16.5,0.0175,17.,0.0156544271,17.,0.0194489375,17.,0.0148834130
17.5,0.005,18.,0.0089599853,18.,0.0115083617,18.,0.0075722393
18.5,0.005,19.,0.0048584341,19.,0.0064513415,19.,0.0035072854
19.5,0.,20.,0.0025027009,20.,0.0034356599,20.,0.0014789138
20.5,0.0025,21.,0.0012278131,21.,0.001742533,21.,0.0005677271
21.5,0.,22.,0.0005749793,22.,0.0008436231,22.,0.000198409
22.5,0.0025,23.,0.0002575532,23.,0.0003906706,23.,0.000063126
23.5,,,,,,,
