x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000000029,0.,0.0000000001,0.,0.0000226493
0.5,0.,1.,0.0000000572,1.,0.0000000014,1.,0.0000510575
1.5,0.,2.,0.0000005622,2.,0.0000000162,2.,0.0001103153
2.5,0.,3.,0.0000036831,3.,0.0000001271,3.,0.0002284458
3.5,0.,4.,0.0000180977,4.,0.0000007488,4.,0.000453421
4.5,0.,5.,0.000071142,5.,0.0000035292,5.,0.0008625639
5.5,0.,6.,0.0002330493,6.,0.0000138614,6.,0.0015727223
6.5,0.,7.,0.0006543691,7.,0.0000466653,7.,0.0027484252
7.5,0.,8.,0.001607703,8.,0.0001374643,8.,0.0046034872
8.5,0.005,9.,0.0035110447,9.,0.0003599422,9.,0.0073902831
9.5,0.015,10.,0.0069009584,10.,0.0008482389,10.,0.0113712009
10.5,0.,11.,0.0123307579,11.,0.0018172343,11.,0.0167696003
11.5,0.01,12.,0.0201967538,12.,0.0035687414,12.,0.0237033764
12.5,0.03,13.,0.0305359382,13.,0.0064692978,13.,0.0321121096
13.5,0.04,14.,0.0428702761,14.,0.0108896650,14.,0.0416964021
14.5,0.11,15.,0.0561743518,15.,0.0171083716,15.,0.0518918852
15.5,0.08,16.,0.0690066802,16.,0.0251984661,16.,0.0618972618
16.5,0.065,17.,0.0797839,17.,0.0349309660,17.,0.0707643543
17.5,0.09,18.,0.0871195864,18.,0.0457323484,18.,0.0775405327
18.5,0.1,19.,0.0901229195,19.,0.0567224937,19.,0.0814355689
19.5,0.085,20.,0.0885682991,20.,0.0668360434,20.,0.0819729588
20.5,0.075,21.,0.0828957104,21.,0.0750026918,21.,0.0790857448
21.5,0.045,22.,0.0740597813,22.,0.0803414346,22.,0.0731302282
22.5,0.035,23.,0.0632889131,23.,0.0823184451,23.,0.0648136934
23.5,0.065,24.,0.0518309828,24.,0.0808297675,24.,0.0550563903
24.5,0.02,25.,0.0407495187,25.,0.0761932912,25.,0.0448249505
25.5,0.035,26.,0.0308050688,26.,0.0690603537,26.,0.0349786486
26.5,0.045,27.,0.0224249492,27.,0.0602768359,27.,0.0261611816
27.5,0.005,28.,0.0157415134,28.,0.0507315145,28.,0.0187535204
28.5,0.015,29.,0.0106689464,29.,0.0412254346,29.,0.0128848504
29.5,0.01,30.,0.0069899381,30.,0.0323839187,30.,0.0084849067
30.5,0.,31.,0.0044318462,31.,0.02461802,31.,0.0053553257
31.5,0.005,32.,0.0027221230,32.,0.0181296138,32.,0.0032396331
32.5,0.005,33.,0.001621313,33.,0.0129467281,33.,0.0018783516
33.5,0.,34.,0.000937262,34.,0.0089735962,34.,0.0010438283
34.5,0.,35.,0.0005263395,35.,0.0060420441,35.,0.0005559713
35.5,0.005,36.,0.0002873668,36.,0.0039551850,36.,0.0002838225
36.5,0.,37.,0.0001526539,37.,0.0025191295,37.,0.0001388713
37.5,0.,38.,0.0000789582,38.,0.0015622564,38.,0.0000651252
38.5,0.,39.,0.0000397929,39.,0.0009440024,39.,0.0000292723
39.5,0.005,40.,0.0000195532,40.,0.0005561584,40.,0.0000126106
40.5,,,,,,,
