t, ñ	wz	
0,0	0,01	
0,005	0,02	
0,01	0,02	
0,015	0,03	
0,02	0,03	
0,025	0,03	
0,03	0,03	
0,035	0,03	
0,04	0,02	
0,045	0,02	
0,05	0,02	
0,055	0,01	
0,06	0,01	
0,065	0	
0,07	0	
0,075	0	
0,08	0	
0,085	0	
0,09	0	
0,095	0,01	
0,1	0,01	
0,105	0,01	
0,11	0,02	
0,115	0,02	
0,12	0,02	
0,125	0,03	
0,13	0,03	
0,135	0,03	
0,14	0,03	
0,145	0,03	
0,15	0,02	
0,155	0,02	
0,16	0,01	
0,165	0,01	
0,17	0,01	
0,175	0	
0,18	0	
0,185	0	
0,19	0	
0,195	0	
0,2	0	
0,205	0,01	
0,21	0,01	
0,215	0,02	
0,22	0,02	
0,225	0,03	
0,23	0,03	
0,235	0,03	
0,24	0,03	
0,245	0,02	
0,25	0,02	
0,255	0,01	
0,26	-0,01	
0,265	-0,03	
0,27	-0,05	
0,275	-0,07	
0,28	-0,06	
0,285	0,03	
0,29	0,13	
0,295	0,23	
0,3	0,31	
0,305	0,34	
0,31	0,33	
0,315	0,3	
0,32	0,27	
0,325	0,27	
0,33	0,3	
0,335	0,37	
0,34	0,46	
0,345	0,54	
0,35	0,59	
0,355	0,59	
0,36	0,56	
0,365	0,52	
0,37	0,52	
0,375	0,56	
0,38	0,63	
0,385	0,71	
0,39	0,77	
0,395	0,8	
0,4	0,8	
0,405	0,77	
0,41	0,74	
0,415	0,74	
0,42	0,77	
0,425	0,83	
0,43	0,9	
0,435	0,96	
0,44	0,99	
0,445	0,97	
0,45	0,93	
0,455	0,91	
0,46	0,91	
0,465	0,94	
0,47	1	
0,475	1,06	
0,48	1,1	
0,485	1,11	
0,49	1,09	
0,495	1,05	
0,5	1,02	
0,505	1,01	
0,51	1,03	
0,515	1,09	
0,52	1,14	
0,525	1,19	
0,53	1,2	
0,535	1,16	
0,54	1,11	
0,545	1,07	
0,55	1,06	
0,555	1,08	
0,56	1,14	
0,565	1,18	
0,57	1,22	
0,575	1,21	
0,58	1,18	
0,585	1,11	
0,59	1,06	
0,595	1,04	
0,6	1,04	
0,605	1,07	
0,61	1,14	
0,615	1,17	
0,62	1,16	
0,625	1,12	
0,63	1,06	
0,635	1,02	
0,64	0,98	
0,645	0,97	
0,65	0,99	
0,655	1,02	
0,66	1,04	
0,665	1,03	
0,67	1,01	
0,675	0,97	
0,68	0,91	
0,685	0,86	
0,69	0,83	
0,695	0,83	
0,7	0,83	
0,705	0,84	
0,71	0,84	
0,715	0,83	
0,72	0,78	
0,725	0,75	
0,73	0,72	
0,735	0,69	
0,74	0,65	
0,745	0,64	
0,75	0,64	
0,755	0,62	
0,76	0,6	
0,765	0,57	
0,77	0,54	
0,775	0,5	
0,78	0,45	
0,785	0,43	
0,79	0,4	
0,795	0,37	
0,8	0,35	
0,805	0,34	
0,81	0,33	
0,815	0,31	
0,82	0,28	
0,825	0,25	
0,83	0,22	
0,835	0,17	
0,84	0,13	
0,845	0,1	
0,85	0,07	
0,855	0,05	
0,86	0,04	
0,865	0,03	
0,87	-0,01	
0,875	-0,06	
0,88	-0,11	
0,885	-0,14	
0,89	-0,17	
0,895	-0,2	
0,9	-0,2	
0,905	-0,2	
0,91	-0,22	
0,915	-0,26	
0,92	-0,29	
0,925	-0,33	
0,93	-0,4	
0,935	-0,42	
0,94	-0,43	
0,945	-0,43	
0,95	-0,45	
0,955	-0,47	
0,96	-0,51	
0,965	-0,55	
0,97	-0,6	
0,975	-0,64	
0,98	-0,65	
0,985	-0,65	
0,99	-0,64	
0,995	-0,65	
1,0	-0,66	
1,005	-0,7	
1,01	-0,76	
1,015	-0,83	
1,02	-0,85	
1,025	-0,85	
1,03	-0,83	
1,035	-0,8	
1,04	-0,8	
1,045	-0,82	
1,05	-0,87	
1,055	-0,93	
1,06	-0,99	
1,065	-1,02	
1,07	-1,02	
1,075	-0,99	
1,08	-0,95	
1,085	-0,93	
1,09	-0,93	
1,095	-1	
1,1	-1,07	
1,105	-1,12	
1,11	-1,14	
1,115	-1,12	
1,12	-1,08	
1,125	-1,03	
1,13	-0,99	
1,135	-0,99	
1,14	-1,04	
1,145	-1,1	
1,15	-1,16	
1,155	-1,19	
1,16	-1,19	
1,165	-1,14	
1,17	-1,07	
1,175	-1,01	
1,18	-1,01	
1,185	-1,06	
1,19	-1,13	
1,195	-1,18	
1,2	-1,2	
1,205	-1,17	
1,21	-1,11	
1,215	-1,04	
1,22	-0,99	
1,225	-0,97	
1,23	-1,01	
1,235	-1,06	
1,24	-1,11	
1,245	-1,13	
1,25	-1,12	
1,255	-1,02	
1,26	-0,95	
1,265	-0,9	
1,27	-0,9	
1,275	-0,93	
1,28	-0,98	
1,285	-1,02	
1,29	-1,03	
1,295	-0,99	
1,3	-0,91	
1,305	-0,83	
1,31	-0,78	
1,315	-0,75	
1,32	-0,77	
1,325	-0,83	
1,33	-0,88	
1,335	-0,87	
1,34	-0,82	
1,345	-0,73	
1,35	-0,65	
1,355	-0,59	
1,36	-0,59	
1,365	-0,62	
1,37	-0,67	
1,375	-0,7	
1,38	-0,7	
1,385	-0,65	
1,39	-0,56	
1,395	-0,47	
1,4	-0,41	
1,405	-0,39	
1,41	-0,42	
1,415	-0,49	
1,42	-0,52	
1,425	-0,5	
1,43	-0,43	
1,435	-0,33	
1,44	-0,24	
1,445	-0,19	
1,45	-0,18	
1,455	-0,22	
1,46	-0,27	
1,465	-0,3	
1,47	-0,29	
1,475	-0,24	
1,48	-0,15	
1,485	-0,06	
1,49	0,02	
1,495	0,04	
1,5	-0,01	
1,505	-0,06	
1,51	-0,09	
1,515	-0,08	
1,52	-0,01	
1,525	0,09	
1,53	0,18	
1,535	0,23	
1,54	0,24	
1,545	0,21	
1,55	0,16	
1,555	0,12	
1,56	0,12	
1,565	0,17	
1,57	0,25	
1,575	0,34	
1,58	0,43	
1,585	0,43	
1,59	0,38	
1,595	0,33	
1,6	0,3	
1,605	0,31	
1,61	0,36	
1,615	0,44	
1,62	0,52	
1,625	0,57	
1,63	0,58	
1,635	0,56	
1,64	0,51	
1,645	0,46	
1,65	0,45	
1,655	0,49	
1,66	0,6	
1,665	0,67	
1,67	0,71	
1,675	0,7	
1,68	0,66	
1,685	0,6	
1,69	0,57	
1,695	0,57	
1,7	0,61	
1,705	0,68	
1,71	0,75	
1,715	0,79	
1,72	0,79	
1,725	0,75	
1,73	0,69	
1,735	0,65	
1,74	0,65	
1,745	0,69	
1,75	0,76	
